,P_ID,Dev_ID,TimeStamp,Stages_crossed,Level,Difficulty,Kill_Count,Headshots_Count,Score,Lives_Earned
50,483,bd_015,2022-10-11 22:20:10,5,1,Medium,20,17,1050,0
51,483,zm_013,2022-10-12 19:30:11,3,1,Medium,20,10,2350,1
52,483,zm_017,2022-10-11 14:33:27,10,2,Medium,50,43,5490,3
53,483,rf_015,2022-10-12 02:40:20,7,2,Difficult,19,10,3950,1
54,483,wd_019,2022-10-13 06:20:40,8,2,Difficult,25,16,4390,2
55,368,zm_015,2022-10-12 01:14:34,7,1,Medium,20,18,2040,0
56,368,zm_017,2022-10-12 04:20:30,5,1,Low,14,10,1750,0
57,368,bd_015,2022-10-12 11:59:18,6,2,Difficult,15,8,1950,1
58,368,rf_013,2022-10-15 14:47:53,4,2,Difficult,24,19,2970,2
59,663,bd_013,2022-10-15 17:30:30,5,1,Difficult,45,30,100,0
60,663,rf_013,2022-10-15 19:36:40,5,1,Medium,28,25,100,1
61,663,wd_019,2022-10-15 06:30:20,5,2,Difficult,4,0,100,2
62,663,zm_015,2022-10-15 09:56:17,5,2,Medium,23,20,4950,2
63,663,zm_017,2022-10-15 23:41:25,6,2,Difficult,30,24,5500,4
64,683,bd_013,2022-10-11 02:23:45,4,1,Low,16,11,1390,0
65,683,bd_015,2022-10-11 18:45:55,3,1,Low,21,20,3200,2
66,683,rf_013,2022-10-12 14:36:15,7,1,Medium,16,6,1850,0
67,683,rf_015,2022-10-13 22:30:17,5,2,Medium,25,18,2800,0
68,683,zm_017,2022-10-13 08:16:29,7,2,Difficult,19,13,2750,2
69,683,zm_017,2022-10-15 16:10:30,8,2,Difficult,20,18,4100,3
70,683,zm_017,2022-10-15 22:20:16,5,2,Difficult,10,6,2050,1
71,358,zm_017,2022-10-14 05:05:05,3,0,Low,4,3,70,0
72,358,zm_013,2022-10-14 18:23:29,2,0,Medium,3,1,120,0
73,641,rf_013,2022-10-14 01:25:30,4,0,Low,4,3,105,0
74,641,rf_015,2022-10-13 04:04:04,2,0,Medium,2,1,40,0
75,641,rf_013,2022-10-14 23:19:17,5,0,Difficult,8,7,235,0
76,558,wd_019,2022-10-12 23:19:17,8,0,Difficult,21,19,635,0
